discount,final price
5.0,698.079
0.0,115.9
5.0,1261.771
11.0,123.6032
3.5,1829.6882
5.0,2117.1511
2.5,108.42975
7.5,2036.1562
15.0,653.48
7.5,3005.519
0.0,250.76
2.5,1608.4575
5.0,866.628
5.0,188.2425
3.5,2496.9954
0.0,38.62
3.5,2813.5925
7.5,3067.9014
5.0,549.651
5.0,888.55396
5.0,2934.2078
2.5,717.53174
5.0,131.21399
5.0,270.693
15.0,671.976
5.0,2893.1677
11.0,362.95978
11.0,661.1987
6.0,97.515594
2.5,285.3045
0.0,1.86
5.0,537.36743
5.0,417.9525
15.0,3184.3467
7.5,1896.3241
0.0,64.32
11.0,2179.5479
7.5,189.79149
3.5,1091.743
2.5,117.662994
12.5,2233.7703
5.0,1580.192
11.0,602.5656
5.0,1648.592
5.0,149.91
6.0,2639.52
5.0,1630.048
5.0,743.66
5.0,74.879
2.5,1617.1837
0.0,501.66
5.0,125.912994
2.5,816.30896
7.5,1261.9034
3.5,658.6125
12.5,877.5375
0.0,309.02
11.0,684.37445
5.0,188.955
7.5,168.41476
7.5,921.67
5.0,962.92
0.0,427.05
5.0,426.702
0.0,49.26
0.0,213.45001
2.5,532.662
3.5,1801.7516
11.0,2531.4004
5.0,1346.7675
7.5,461.1495
2.5,1649.8756
3.5,2638.9663
15.0,2769.3423
5.0,83.695
5.0,282.872
0.0,261.16
3.5,2546.3262
7.5,976.6336
3.5,1020.29456
3.5,1164.6006
2.5,504.94278
3.5,1419.6307
3.5,86.43505
5.0,344.8025
15.0,1510.552
3.5,2440.8323
7.5,3247.6843
2.5,976.89154
2.5,472.446
6.0,2024.4873
0.0,710.28
6.0,1984.7913
3.5,1193.6085
5.0,11.2005005
11.0,429.8789
11.0,399.5299
8.5,1782.8774
5.0,2654.9175
11.0,2246.538
5.0,2235.6443
0.0,744.35
2.5,942.55194
2.5,1343.2186
0.0,72.81
6.0,734.4596
0.0,311.6
6.0,92.9472
5.0,794.5515
7.5,1431.567
5.0,2814.66
11.0,84.1584
15.0,309.4
7.5,108.7245
5.0,1557.8955
8.5,1190.415
2.5,32.935497
5.0,2527.2375
5.0,67.792
11.0,1676.2439
5.0,3395.0532
11.0,2169.1614
5.0,1950.825
11.0,1898.7527
11.0,1806.7445
3.5,2787.8752
3.5,1936.2822
5.0,728.175
5.0,1201.94
5.0,689.35803
12.5,2177.4375
5.0,179.227
5.0,1518.5275
5.0,430.16
2.5,809.6692
11.0,2247.0098
7.5,1262.9025
5.0,605.1975
6.0,555.6434
3.5,1935.9443
